"Type","Subline Code","Tariff","No Pass","Class","Unit","2015","2014","2013","2012","2011","2010","2009","2008","Body Type"
,,,,,,,,,,,,,,
"BMW","PC","1","4","C","BMW 1 M COUPE 3.0 6 SPD A/T","0","0","4355000","0","0","0","0","0","COUPE"
"BMW","PC","1","4","C","BMW 1 M COUPE 3.0  A/T","0","0","0","0","2970000","0","0","0","COUPE"
"BMW","PC","1","5","A","BMW 116I 1.6 6 SPD A/T","0","0","1580000","1395000","0","0","0","0","HATCHBACK"
"BMW","PC","1","5","A","BMW 116I 1.6 8 SPD A/T","0","2020000","1780000","0","0","0","0","0","HATCHBACK"
"BMW","PC","1","5","A","BMW 116I 1.6 EXEC M/T","0","0","0","0","0","0","0","835000","HATCHBACK"
"BMW","PC","1","5","A","BMW 116I 1.6  A/T","0","0","0","0","1285000","1135000","0","0","HATCHBACK"
"BMW","PC","1","5","A","BMW 116I 1.6  M/T","0","0","0","0","0","0","1040000","920000","HATCHBACK"
"BMW","PC","1","5","A","BMW 118D  A/T","0","0","0","0","1355000","0","0","0","HATCHBACK"
"BMW","PC","1","5","B","BMW 118D 2.0 6 SPD A/T","0","0","1660000","1465000","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 118D 2.0 SPORT 8 SPD A/T","0","0","2090000","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 118D 2.0 URBAN 8 SPD A/T","0","0","1935000","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 118I 2.0 EXEC A/T","0","0","0","0","0","0","0","935000","HATCHBACK"
"BMW","PC","1","5","B","BMW 118I 2.0 HB EXEC A/T","0","0","0","0","0","0","1100000","0","SEDAN"
"BMW","PC","1","5","B","BMW 120D 2.0 HB SPORT A/T","0","0","0","0","0","1545000","1360000","1200000","HATCHBACK"
"BMW","PC","1","5","B","BMW 120I 2.0 CAB A/T","0","0","0","0","0","0","0","1395000","HATCHBACK"
"BMW","PC","1","5","B","BMW 120I 2.0 CONV A/T","0","0","0","0","0","0","0","1000000","HATCHBACK"
"BMW","PC","1","5","B","BMW 120I 2.0 HB CONV A/T","0","0","0","0","2250000","1985000","1745000","0","SEDAN"
"BMW","PC","1","4","B","BMW 120I 6 SPD 2.0 CNVRT A/T","0","0","0","2570000","0","0","0","0","HATCHBACK"
"BMW","PC","1","4","C","BMW 135I 3.0 SPORT  A/T","0","0","0","3280000","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 135I COUPE SPORT A/T","0","0","0","0","0","0","2510000","0","SEDAN"
"BMW","PC","1","5","B","BMW 135I M SPORT COUPE A/T","0","0","3560000","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 135I SPORT M A/T","0","0","0","0","2955000","2605000","0","0","COUPE"
"BMW","PC","1","4","C","BMW 1M COUPE 3.0 6 SPD A/T","0","0","0","3925000","0","0","0","0","COUPE"
"BMW","PC","1","5","A","BMW 316I 1.6 EXEC M/T","0","0","0","0","0","0","0","960000","SEDAN"
"BMW","PC","1","5","A","BMW 316I 1.6  M/T","0","0","0","0","0","0","0","900000","SEDAN"
"BMW","PC","1","5","B","BMW 318D 2.0 6 SPD A/T","0","2105000","1855000","1635000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 318I EXEC A/T","0","0","0","0","0","1370000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 318I  A/T","0","0","0","0","1590000","1590000","1400000","0","SEDAN"
"BMW","PC","1","5","B","BMW 318I  M/T","0","0","0","0","0","0","0","1030000","SEDAN"
"BMW","PC","1","5","B","BMW 318I 2.0 6 SPD A/T","0","0","2190000","1930000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 318I BUSINESS 2.0 6 SPD A/T","0","0","1580000","1395000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 320D 2.0 6 SPD A/T","0","0","2350000","2070000","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 320D 2.0 ADV A/T","0","0","0","0","0","1910000","1680000","0","SEDAN"
"BMW","PC","1","5","B","BMW 320D 2.0 EXEC A/T","0","0","0","0","0","0","0","1400000","SEDAN"
"BMW","PC","1","5","B","BMW 320D 2.0 SPORT A/T","0","0","0","0","2035000","1795000","1580000","1390000","SEDAN"
"BMW","PC","1","5","B","BMW 320D 2.0 GT 8 SPD A/T","0","2810000","0","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 320D 2.0 LUXURY 8 SPD A/T","0","3075000","2710000","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 320D 2.0 M SPORT A/T","0","0","1980000","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 320D 2.0 MODERN 8 SPD A/T","0","3075000","2710000","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 320D 2.0 SORT 8 SPD A/T","0","0","0","2470000","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 320D 2.0 SPORT 8 SPD A/T","0","3075000","2710000","0","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 320I 2.0 ADV A/T","0","0","0","0","0","0","1350000","0","SEDAN"
"BMW","PC","1","5","B","BMW 320I 2.0 EXEC A/T","0","0","0","0","0","0","1510000","1330000","SEDAN"
"BMW","PC","1","5","B","BMW 320I 2.0 SPORT A/T","0","0","0","0","0","0","0","1400000","SEDAN"
"BMW","PC","1","5","B","BMW 320I 2.0  A/T","0","0","0","0","0","1780000","1570000","1380000","SEDAN"
"BMW","PC","1","5","B","BMW 325I CONV A/T","0","0","0","0","3220000","2835000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 325I COUPE A/T","0","0","0","0","0","0","0","1865000","SEDAN"
"BMW","PC","1","5","B","BMW 325I  A/T","0","0","0","0","0","0","1895000","0","SEDAN"
"BMW","PC","1","5","B","BMW 325I 2.5 EXEC A/T","0","0","0","0","0","0","0","1615000","SEDAN"
"BMW","PC","1","4","C","BMW 325I 6 SPD 3.0 CONV A/T","0","0","0","3565000","0","0","0","0","COUPE"
"BMW","PC","1","5","B","BMW 325I CONVERT  A/T","0","0","0","0","0","0","2510000","2210000","SEDAN"
"BMW","PC","1","5","B","BMW 325I CONVERTIBLE  A/T","0","0","3960000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 325I CONVERTIBLE M SPORT A/T","0","0","4750000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 325I COUPE  A/T","0","0","0","0","0","0","2240000","0","SEDAN"
"BMW","PC","1","5","B","BMW 328I 2.0 SPORT A/T","0","0","3405000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 335I CONV A/T","0","0","0","0","3855000","3395000","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 335I 3.0 COUPE A/T","0","0","0","0","0","0","2620000","2310000","SEDAN"
"BMW","PC","1","4","C","BMW 335I 6 SPD 3.0 CONV A/T","0","0","0","4280000","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 335I CONVERT  A/T","0","0","0","0","0","0","2935000","2585000","SEDAN"
"BMW","PC","1","5","B","BMW 520D  A/T","0","0","0","0","0","2895000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 520D 2.0  A/T","0","4395000","3870000","3405000","3000000","0","2355000","2075000","SEDAN"
"BMW","PC","1","5","B","BMW 520I 2.0  A/T","0","0","0","0","0","2825000","2500000","2200000","SEDAN"
"BMW","PC","1","5","B","BMW 523I 2.5 8 SPD A/T","0","4745000","4180000","3675000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 523I 2.5 EXEC A/T","0","0","0","0","0","0","0","2185000","SEDAN"
"BMW","PC","1","5","B","BMW 523I 2.5  A/T","0","0","0","0","3465000","3050000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 525D TOUR A/T","0","0","0","0","0","3530000","0","2735000","SEDAN"
"BMW","PC","1","5","B","BMW 525I  A/T","0","0","0","0","0","0","2620000","0","SEDAN"
"BMW","PC","1","5","B","BMW 525I 2.5  A/T","0","0","0","0","0","3465000","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 528I  A/T","0","0","0","0","3125000","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 528I 2.0 8 SPD A/T","0","0","0","4280000","0","0","0","0","SEDAN"
"BMW","PC","1","5","B","BMW 528I 3.0 8 SPD A/T","0","5275000","4645000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 8 SPD A/T","0","5625000","4955000","0","0","0","0","0","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 EXEC A/T","0","0","0","0","0","0","0","2460000","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 SPORT A/T","0","0","0","0","0","3725000","3280000","2885000","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0 TOUR A/T","0","0","0","0","0","0","2735000","0","SEDAN"
"BMW","PC","1","5","C","BMW 530D 3.0  A/T","0","0","0","4560000","4015000","0","0","0","SEDAN"
